
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
2855,Extol,metal,progressive metal,acoustic,beatiful,christian metal,death metal,good stuff,powerful,progressive,progressive death metal
2856,Jeniferever,post-rock,ambient,indie,atmospheric,beautiful,dreamy,melodic,my music pillow,pastel,post rock
2857,The Vera Violets,shoegaze,00s,10s,ambient,american,dream pop,indie,indie rock,lo-fi,noise pop
2858,The Temptations,soul,60s,oldies,motown,70s,rnb,funk,pop,rock,rhythm and blues
2859,Maserati,post-rock,alternative,amazing,refreshing,psychedelic,progressive rock,powerful,math rock,instrumental,indie
2860,Mumm-Ra,british,alternative,alternative rock,cool,idolo,indie,indie luv,indie rock,love it,rock
2861,The Communards,80s,pop,new wave,alternative,synthpop,synth pop,soul,politeconomist realife soundtrack,gay,fav artists
2862,Donna Regina,90s,ambient,chillout,downtempo,electronica,female vocalists,indie,indietronica,lo-fi,lounge
2863,Der WaldläUfer,ambient,ambiofusion,wide horizon,subsonic harmonence,sonicwire,peaceful ambient,outer dimensions,neoambient,mind music,limehyperambient
2864,Bliss,ambient,chillout,downtempo,electronic,lounge,amazing,breathtaking,easy listening,ethnic chill,fascinating
2865,Band of Skulls,rock,indie,alternative,british,indie rock,alternative rock,blues,00s,garage rock,twilight
2866,Shawn McDonald,christian,christian rock,worship,acoustic,adoracao,awesome god,chill,christian music,folk,indie
2867,Day of Fire,christian,christian rock,adoracao,diego,diego 12,gospel,jesus,jesus 12,preferidas,rock
2868,Delirious?,christian,christian rock,worship,adoracao,chill,christian rock-pop,diego 12,jesus,jesus 12,preferidas
2869,Lucas Souza,worship,adoracao,brazilian,christian,christian rock,cristian rock,diego,diego 12,favorite bands and artists,gospel
2870,Zola Jesus,ambient,lo-fi,noise,psychedelic,crazy,dreaming,electronic,female vocalists,seen live,trip
2871,Machine Drum,idm,ambient,beats,calming,exhilarating,experimental,glitch,groovy,hip-hop,soothing
2872,Global Deejays,dance,electronic,house,techno,trance,00s,2004,austria,best song ever,pop
2873,delicious pastries,alex chilton,apples in stereo,beach boys,big star,elephant 6,harry nilsson,herman's hermits,mariage blanc,meeting of important people,new shouts
2874,New Shouts,beach boys,britpop,camera,delicious pastries,fundip,mariage blanc,motown,ronettes,snack music,teenage beach sounds
2875,Love,psychedelic,60s,classic rock,rock,1966,1967,1969,1970,american,buy this
2876,Shitdisco,electronic,indie,new rave,british,electro,dance punk,dance-punk,disco fuckin yea,neon space,new wave
2877,Platinum Blonde,80s,canadian,dance dance dance,faves,manchester,new wave,oh canada,pop,remix,synthpop
2878,Spoons,canadian,new wave,synth pop,1980s,80s,classic,dance,dance dance dance,living in the suburbs in the 1980s,oh canada
2879,100dBs,beats,brooklyn,drum attix,dub,hip hop,hip-hop,lesser known yet streamable artists,nyc,reggae,remixes
2880,Honeybird & the Birdies,acoustic,puzzola idiota,mpb,new american weird,oculiste,p-birdie,pachamama,paola mirabella,people who are freakier and folkier than motherfucking devendra banhart,pink lemonade
2881,"Kiss My Ass, Deeply",acoustic,better than kmad,black metal,death metal,eminem,legend,neofolk,nice sword gandalf,non melodic,over 2000 listeners
2882,Blue Cheer,hard rock,blues rock,classic rock,stoner rock,psychedelic rock,psychedelic,60s,heavy metal,proto metal,rock and roll
2883,Alaska In Winter,atmospheric,cool,dreampop,electronic,ethereal,experimental,love it,mellow,piano,special
2884,Sea Wolf,alternative,indie,indie pop,twilight,americana,folk,gossip girl,indie rock,new moon,pop
2885,The Alarm,welsh,1981,80s,best christmas songs,british,celtic,favourites,new wave,rock,seen live
2886,Kirsty MacColl,female vocalists,singer-songwriter,80s,best songs of the 00s,best songs of the 80s,best songs of the 90s,college rock,favourites,female,folk-rock
2887,Geneva Jacuzzi,avant-garde,broken-clash,female vocalists,frauen und technik,in the chillwave family,indietronica,lo-fi,new weird america,post electroclash,post-electroclash
2888,Telex,1980 songs,blitz playlist,cities,could be mistaken for sth else,cover,deep-clash,disco,electroclash ingredients,electronic songs,musical genres
2889,Marianne Faithfull,female vocalists,pop,rock,singer-songwriter,1965,blitz playlist,british,classic rock,songs to listen to,the beatles
2890,Modern Witch,witch house,10s,ambient,avant-garde,broken-clash,electronic,experimental,idm,post-punk,witch-clash
2891,e-gens,synth pop,vnv nation,visage,depeche mode,synthpop,russian synthpop,new wave,pop,provision,russian
2892,Electro Spectre,new wave,synthpop,alternative,depeche mode,ebm,electro,electronic,electronica,electropop,male vocalist
2893,B! Machine,synthpop,alternative,depeche mode,ebm,electro,electronic,electronica,male vocalist,new wave,synth pop
2894,Ien Oblique,electronic,00s,fav,synthpop,synth pop,sexy,male vocalist,favorites,favorite,electropop
2895,KAJ,electronic,synthpop,alternative,depeche mode,electro pop,electronica,male vocalist,new wave,synth,synth pop
2896,Double Thumb,female vocalists,ambient,atmospheric,down tempo,dub,easy listening,electric,electronic,elsiane,experimental
2897,Andrea Corr,andrea corr,awesome,chillout,good mood music,good mood songs,infatuation,irish,love songs,piano,sexy
2898,Willy DeVille,blues,folk,singer-songwriter,70s,80s,90s,acoustic,american,cover,garage rock
2899,Dead Meadow,indie rock,psychedelic,00s,90s,alternative,american,blues,experimental,garage rock,indie
2900,Terry Riley,experimental,avant-garde,avant garde,contemporary classical,eldad,first-rate and free,for work,iron jesus,minimal,minimalism
2901,Erik Truffaz,jazz fusion,ambient,chillout,contemporary jazz,downtempo,eldad,electronic,experimental,favorite artist,fusion
2902,Egberto Gismonti,acoustic,acoustic guitar,brasil,eclectic,eldad,experimental,folkloric,for work,guitar,instrumental
2903,Hermeto Pascoal,experimental,avant-garde,brasil,brazilian,composer,eldad,for work,free jazz,instrumental,jazz
2904,Astral Projection,psytrance,goa,psychedelic,trance,ambient,psychedelic trance,dance,electronic,full-on,progressive trance
2905,Paola & Chiara,italian,pop,dance,disco,electro,electronic,electronica,female vocalists,festival italian music,italian music
2906,Thomas Anders,00s,80s,90s,catchy,dance,dance 00s,dance music,disco,german,house
2907,Christophe Willem,french,ballad,chanson francaise,dance,disco,europe,francais,french pop,gay as hell,pop
2908,Mediæval Bæbes,ethereal,female vocalists,beautiful,celtic,dreamy,for work,goddesses,irish music,new age,winds of soul
2909,Blue Man Group,alternative,electronic,american,dance - trance,electronica,friends,instrumental,psychedelic,rock,seen live
2910,Bitter:Sweet,trip-hop,chillout,alternative,electronic,female vocalists,jazz,90210,acid jazz,cool,downtempo
2911,Vinicius de Moraes,bossa nova,mpb,brasil,brazilian,samba,brazil,brazilian jazz,composer,male vocalists,singer-songwriter
2912,Nick Cave & Warren Ellis,instrumental,ambient,soundtrack,chef musinum,divine,eldad,film music composer,for work,jean marc toma,lostfreeq
2913,HṚṢṬA,experimental,ambient,atmospheric,awesome,beautiful,constellation records,epic,post-rock,psybient,psychedelic
2914,Louis XIV,indie rock,rock,alternative,indie,alternative rock,gay,handclaps,new album loves,punk,sex
2915,Neurotic Outsiders,punk rock,90s,hard rock,rock,better than metallica,my fav fun,ogonj,punk,rock n roll,scholes song
2916,Billy Bragg,acoustic,alternative,college rock,cover,folk,i buy singles for b-sides like this,love at first listen,political,rudyard kipling,songs i sing in the shower
2917,India.Arie,soul,rnb,female vocalists,jazz,neo-soul,singer-songwriter,acoustic,afro-soul,chillout,harmonies
2918,The Coasters,oldies,rock n roll,50s,60s,doo wop,soul,popular,rhythm and blues,rnb,rock and roll
2919,Chipmunk,rnb,00s,2009,duet,grime,hip hop,hip-hop,love at first listen,pop,united kingdom
2920,Nickel Creek,covers,acoustic guitar,american,americana,beautifulsad,dreamy,female vocalists,folk,seen live,singer-songwriter
2921,Murat Esmer,ambient,downtempo,electronic,chillout,instrumental,trip-hop,soundtrack,simple,progressive,oriental
2922,Nileppez,ambient,rock,bu grubu hic duymamistim,electronic,electronica,instrumental,murat esmer,progressive,progressive rock,unrealistic phantom
2923,The Lightning Seeds,britpop,alternative,british,indie,rock,80s,90s,alison moyet,college rock,favourite songs
2924,Tristan Feldbauer,ambient,chillout,electronic,easy listening,electro,first-rate and free,lounge,morning,relaxing,sensual
2925,Catatonia,britpop,90s,indie,alternative,duets,female vocalists,guilty pleasure,indie rock,tracks i want to see on lastfm,wales
2926,Warren Zevon,70s,classic rock,rock,halloween,singer-songwriter,80s,alternative,best songs of the 70s,folk,legends
2927,Fire On Dawson,hard rock,12 stones,progressive rock,movie soundtrack,muse,nachdenklich,nirvana,nu metal,pearl jam,perfect circle
2928,Carrie,electronic,electronica,idm,indie,indie pop,inditronica,lo fi,lo-fi,mexican,mexico
2929,Alcian Blue,ambient,experimental,shoegaze,noise,synthpop,space rock,post-punk,noise rock,noise pop,newgazer
2930,Adorable,indie,shoegaze,90s,noise pop,british,dream pop,experimental,indie rock,rock,shoegazer
2931,Joseph Arthur,alternative,indie,singer-songwriter,folk,soundtrack,acoustic,acoustic rock,favorites,fucking awesome,indie rock
2932,Francesca Reggio and Blue Shift,acoustic,adult contemporary,soft rock,singer/songwriter,singer-songwriter,singer songwriter,rock,pop/rock,pop-rock,pop rock
2933,Paula Lima,brasil,soul,brazilian,lounge,jazz,acid jazz,funk,samba,mpb,mellow
2934,White Rabbits,indie rock,alternative,fun,gossip girl,indie,indie pop,new york,post-punk revival,quirky,rock
2935,Gary Revel,acoustic,alternative,soul,soft rock,santana,movie,mlk,martian boogie,jongleur music pictures,jongleur music
2936,Cephalic Carnage,death metal,grindcore,technical death metal,brutal death metal,doom metal,experimental,melodic death metal,metal,progressive metal,tech - prog death
2937,Tesseract,progressive metal,mathcore,technical metal,ambidjent,ambient,djent,experimental,math metal,metal,progressive
2938,Kattoo,electronic,brilliant,chillout,classical,dark ambient,electronica,experimental,favourites,german,idm
2939,Chumbawamba,90s,alternative,listened more than 10 times in a row,uk,post punk,pop,political,partytime,lms artist,lefties
2940,Carter the Unstoppable Sex Machine,indie,90s,alternative rock,best songs of the 80s,best songs of the 90s,british,cover,new cross,pet shop boys,song with samples
2941,Real Life,80s,new wave,electronic,synth pop,synthpop,alternative,aussie,awesome,bad days,catchy
2942,Marcos Valle,acid jazz,brasil,brazil,brazilian,chillout,deep house,downtempo,electronic,electronica,female vocalists
2943,Iron Jesus,acid,idm,joey beltram,melodic,mental,mind-splat,moondog,morton subotnick,nine inch nails,philip glass
2944,Moondog,autechre,avant-garde,brain dance,experimental,iron jesus,jazz,old,oldies,personal hero,under two minutes
2945,Dj.M,aphex twin,autechre,brain dance,electronic,electronica,experimental,idm,iron jesus,nine inch nails,raymond scott
2946,Jose Vanders,british,cockney,eargasm,female vocalist,female vocals,female voices,indie,indie pop,piano,pop
2947,Heartscore,acoustic,american,mahavishnu orchestra,many,oliver hartstack,piano,plectrum,progressive,progressor,queen
2948,Olivier Messiaen,contemporary classical,experimental,piano,approfondire,best unknown bands tracks to be observed,classical,for work,france,iron jesus,kick ass
2949,athas,acoustic,amy richter,wisconsin,whistle,violin,viola,traditional,slip jig,roots,milwaukee
2950,Matt Hendricks,blues,chicago blues,delta blues,electric blues,folk,guitar,jazz,matt hendricks,milwaukee,music
2951,Screamin' Jay Hawkins,blues,halloween,rhythm and blues,rock,rock n roll,50s,avant-garde,best songs of the 50s,blues rock,rnb
2952,Herr M.,90s,alternative,love,melancholisch,metal,more,new,new media,new wave,nu
2953,Fleischschirm,alternative,alternative rock,bass,cool,guitar,hardcore,independent,industrial,metal,new media
2954,Hellyeah,metal,heavy metal,thrash metal,awesome,groove metal,hell fucking yeah,metalcore,power pop,rock,southern rock
2955,The Hillbilly Moon Explosion,country,rhythm'n'blues,ska,saxophones,rocksteady,rocks like hell,rockabilly,rock'n'roll,rnb,r'n'b
2956,Арчер,acoustic,psychedelic,improvisation,instrumental,instrumental blues,instrumental rock,jazz,loved by archer,lyrical acoustic folk,menestrel
2957,Sleeping at Last,alternative,indie,indie rock,rock,acoustic,alternative rock,amazing,beautiful,indie pop,peaceful
2958,Brooke Fraser,singer-songwriter,acoustic,inspirational,sleepy time,relaxing,pop,piano,love songs,keep ya calm,hymns
2959,As Cities Burn,post-hardcore,alternative rock,christian,christian rock,indie,indie rock,jesus 12,progressive rock,rock me babe,top christian
2960,Husky Rescue,downtempo,chillout,electronic,alternative,animals,dreamy,electroclash,female vocalists,indie,just chillin
2961,Doom,hip-hop,punk,80s,anarchist,crust,d-beat,england,hardcore,lefties,metal
2962,M2M,singer-songwriter,dance,female vocalists,pop,4m4zinq,female vocalist,hooooooooot,tbu,weekly top artists,weekly top tracks
2963,Cee-Lo,funk,soul,rap,hip-hop,male vocalists,american,tyler adam,pop,neo-soul,nelly furtado
2964,Sailor Moon,anime,japanese,pop,90s,bishoujo senshi sailor moon,classic rock,female vocalists,gasshou kumikyoku,j-music,j-pop
2965,Ja Rule,rap,hip-hop,rnb,best of hip hop,gangsta rap,jams,mean,nigga stole ma bike,the worst thing ever to happen to music,trashbag filled with vomit
2966,13th Floor Elevators,psychedelic,psychedelic rock,60s,garage rock,rock,1967,60s garage,60s psychedelic,american,garage
2967,Dan Auerbach,blues rock,blues,american,folk,garage rock,incredibly sexual,male vocalists,psychedelic,rock,singer-songwriter
2968,The Servant,alternative,british,britpop,rock,favorite,favorite songs,favorites,indie,indie rock,new album loves
2969,Dwight Yoakam,80s,covers,90s,alt-country,american,christmas blend,country,folk - folkrock - altcountry,miserable,new traditionalist
2970,Steps,pop,british,dance,90s,90s pop,best christmas songs,bubblegum,electronic,female vocalists,pop covers
2971,Babylon Zoo,electronic,90s,alternative,dance,1996,electronica,indie,industrial,my fav songs,pop
2972,The Bluetones,indie rock,rock,1996,alternative,best song ever,british,britpop,canadian rockabilly,indie,pop
2973,Toquinho,bossa nova,brasil,brazilian,mpb,acoustic guitar,brazil,classical guitar,composer,guitar,instrumental
2974,タッキー＆翼,amazing,favorite,favorite singer,hot,japanese music,johnnys,johnnys entertainment,jpop,male,male vocalists
2975,滝沢秀明,amazing,favorite,favorite singer,hot,japanese music,johnnys,johnnys entertainment,jpop,male,male vocalists
2976,羅志祥,amazing,c-pop,chinese music,cpop,favorite,favorite singer,hot,male,male vocalists,perfect
2977,今井翼,amazing,favorite,favorite singer,hot,japanese music,johnnys,johnnys entertainment,jpop,male,male vocalists
2978,black room,alternative,amazing live,artists to check out,bergen,club music,electro-pop,electronic,electronica,indie,norwegian
2979,SoKo,acoustic,female vocalists,folk,pop,singer-songwriter,0 play yet,catchy,cute,french,indie
2980,G.A.N. 665+1,avant-garde,broken-clash,witch house,witch chill,synthpop,post electroclash,newbreed,new wave,idm,gucci goth
2981,Karlheinz Stockhausen,experimental,avant-garde,contemporary classical,classical,electronic,avant garde,deutsch,first-rate and free,german,germany
2982,Felix Kubin,electronic,avant-garde,berep shows the love,cult,dark disco,deep-electro,electro,electro minimalist,gan-radio,idm
2983,Luc Ferrari,avant-garde,avant garde,contemporary classical,electronic,experimental,field recordings,france,gan-radio,iron jesus,lo-fi
